#followers,user_engagement,verified,depth,user_id1,tweet_id1,user_id2,length,#hashs,#mentions,#URLs,sentiment_score,text,label
15375121,72.56746914829051,1,0.0,ROOT,489800427152879616,2467791,95,0,0,2,-0.3182,malaysia airlines says it lost contact with plane that was flying in ukrainian airspace URL URL,1
3673898,55.2943331704934,1,0.0,ROOT,560474897013415936,59553554,118,0,1,1,0.8398,for just $1 you can get a free jr. frosty with every 2015 purchase! get a frosty key tag now & help support @dtfa. URL,1
1274260,32.03338781228111,1,0.0,ROOT,524928119955013632,19038934,133,1,0,0,-0.7269,"police say they have located car belonging to suspect in #ottawa shooting. uniformed soldier shot at war memorial, condition unknown.",0
13955752,64.54889589905363,1,0.0,ROOT,518830518792892416,51241574,96,0,0,1,-0.34,mexico security forces hunting 43 missing students after clashes with police find mass grave URL,1
189683,24.726166328600407,1,0.0,ROOT,551117430345711616,2280470022,96,0,0,2,0.0,news saudi arabia's national airline planning to introduce gender segregation on flights URL URL,1
3743709,26.76509433962264,1,0.0,ROOT,407193347279699968,22179997,95,0,0,1,-0.7845,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL",0
7427356,55.13650239860445,1,0.0,ROOT,506784541696991232,14173315,84,1,0,2,0.0,"47 days after his plane was shot down over ukraine, #mh17 pilot laid to rest URL URL",1
1943736,12.42622180451128,1,0.0,ROOT,524881688825167872,20622594,85,0,0,2,-0.4767,"after speculation that he’s been arrested, banksy debuts new mural in bristol URL URL",1
2187016,24.57826970860628,1,0.0,ROOT,542860306603868160,15976697,114,0,0,1,0.0262,"very helpful to know that not only was douche harvard prof ben edelman a racist, but his students were, too==> URL",1
19926,1.3736328702335203,0,0.0,ROOT,489798752438583297,329121956,79,0,0,2,0.0,malaysia airlines plane mh17 'shot down in ukraine near russian border' URL URL,1
2888852,48.91311475409836,1,0.0,ROOT,524941504796962816,6433472,100,0,0,2,-0.7845,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL",0
7439788,55.38243123336291,1,0.0,ROOT,534409916560461825,15012486,102,0,0,2,-0.3164,a world without chocolate?! two of the world's biggest chocolate makers could face a shortage: URL URL,1
57226822,13.943715194908512,1,0.0,ROOT,524976526891417600,428333,120,0,0,1,-0.8176,"the canadian soldier shot at the war memorial in ottawa has died, according to two members of parliament. live blog: URL",0
235241,18.79767779390421,0,0.0,ROOT,524948703850029056,292777349,99,0,0,1,-0.34,breaking news: ottawa police confirm at least 3 separate shooting sites and multiple suspects - URL,0
569,5.675682144566778,0,0.0,ROOT,407218583135997953,36780425,77,0,0,1,-0.5574,"r.i.p. to roger rodas, the guy that died with paul walker. he's human too URL",0
46022746,82.54247181964573,1,0.0,ROOT,543443188934250496,807095,111,0,0,1,-0.5574,"one day, we will see our animals again in the eternity of christ, pope francis said to a boy whose dog died URL",1
11422844,16.157139752227778,1,0.0,ROOT,273182568298450945,14075928,63,0,0,1,-0.6486,42 million dead in bloodiest black friday weekend on record URL,1
3162647,222.06895761741123,1,0.0,ROOT,534763214106820608,16973333,91,0,0,2,-0.1027,"the world is running out of chocolate, world’s largest chocolate manufacturer warns URL URL",1
233240,40.85229132569558,0,0.0,ROOT,528389559441444864,2316246829,98,2,0,2,-0.2728,"#obama says ""america doesn't want any stay-at-home-moms! enough is enough! #fireobama now! URL URL",1
1531837,53.45533141210375,0,0.0,ROOT,538412662858588160,279390084,107,2,0,1,-0.8934,"mike brown murder trial witness, #deandrejoshua fatally shot & set on fire after verdict #deandrejoshua URL",1
7438847,55.37976929902396,1,0.0,ROOT,524959836778536961,15012486,118,0,0,1,-0.6705,update: ottawa police confirm gunman in canada shooting shot and killed. search on for possible additional gunmen. URL,0
483142,2.6585268214571656,1,0.0,ROOT,527308173112139776,749963,100,0,0,1,0.886,matt taibbi has left first look media. sorry to see him go. a great talent and we wish him well. URL,0
876305,2.3113622096672946,0,0.0,ROOT,407290871856369664,467047990,81,0,0,0,-0.6806,"r.i.p paul walker, why are people making jokes about his death? not funny at all!",0
1314861,20.070093457943926,1,0.0,ROOT,519965814175567872,15163466,86,0,0,2,0.6124,a vandal painted a brilliantly simple penis on a $2 million bugatti veyron ( URL ) URL,1
11672,6.478674140872532,0,0.0,ROOT,356437941641416705,56851629,99,0,0,0,-0.1531,obama has filed federal charges against zimmerman for violating trayvon's civil rights. god is good,1
6786253,51.82895354293759,1,0.0,ROOT,407192370040803329,20177423,32,0,0,2,0.0,remembering paul walker: URL URL,0
9791437,76.21597096188748,1,0.0,ROOT,489902412900343809,972651,98,1,0,2,-0.1531,update: rebel leader in recorded call: we just shot down a plane (english subtitles) URL #mh17 URL,1
6650218,58.20481380563125,1,0.0,ROOT,407188779255222273,16312576,75,0,0,1,-0.8225,paul walker remembered: celebs react to 'fast and furious' star's death URL,0
4144151,9.042582106455264,1,0.0,ROOT,520630231531802624,16153562,102,1,0,2,-0.7184,#mexico: doubts grow over the fate of 43 missing students as more bodies found in a mass grave URL URL,1
11774920,56.96235579842137,1,0.0,ROOT,407184707118309376,2883841,95,0,0,1,-0.7845,"remembering paul walker: fast and furious star was ""so happy"" hours before his tragic death URL",0
232180,30.36391223155929,1,0.0,ROOT,525024181218725888,18999969,119,2,0,1,-0.8555,"cpl. nathan cirillo, 24, identified as the soldier who was shot, killed at the war memorial today. #cbcott #ottnews URL",0
11483943,122.58386458562322,1,0.0,ROOT,514546272972574721,14511951,77,0,0,1,0.0,"if you put an iphone 6 in your pocket, it may not come out the same shape URL",1
295556,8.428774254614293,1,0.0,ROOT,538975342011363328,24258355,120,2,1,1,-0.4215,ugh. abc reportedly paid #darrenwilson a 'mid to high' six figure fee for his interview: URL ht @senorchompers #ferguson,1
298850,64.58646127142548,1,0.0,ROOT,544567299102244864,13918492,100,0,2,2,0.0,high school student reportedly makes 72 million on stock market. URL @wallstreet @stuyvesanthigh URL,1
46542,14.014004272489911,0,0.0,ROOT,407269894938718208,26853224,70,1,0,1,-0.5574,tmz posted this two days before paul walker died ..... #illuminati URL,0
2848,0.6447534766118836,1,0.0,ROOT,524294016435634178,2435960576,87,0,0,2,0.0,spiders ↑ scientist finds puppy-sized spider in rainforest. sit. stay. forever. URL URL,0
895472,8.994029190623618,1,0.0,ROOT,514429381737852929,14861285,93,0,1,1,-0.34,some iphone 6 plus owners accidentally bending their iphones in pockets URL by @kellyhodgkins,1
854355,72.47848875300284,1,0.0,ROOT,524925600318754816,14216661,47,0,0,2,-0.5994,the scene at the war memorial in ottawa URL URL,0
1628229,70.83298779083161,1,0.0,ROOT,532284831783460864,17469289,99,0,0,2,-0.7003,irritated chick-fil-a manager makes a list of teen slang his employees are forbidden to use URL URL,1
1828600,102.6229336681314,1,0.0,ROOT,525088864416043008,8736882,84,1,0,2,-0.4767,"it was a long, dark day in ottawa. a timeline of the attack: URL #ottawashooting URL",0
3161310,222.0426116838488,1,0.0,ROOT,534303066867367937,16973333,85,0,0,2,-0.1027,"we are running out of chocolate, warns world's largest chocolate manufacturer URL URL",1
5395979,66.73086531910062,1,0.0,ROOT,535315394127728641,16331010,49,0,0,2,-0.6908,raven symone blasts bill cosby rape story URL URL,1
17524355,61.71127758655598,1,0.0,ROOT,519078654635409410,3108351,50,0,0,1,0.0,hewlett-packard announces it will break in two URL,0
622505,31.450890707751565,1,0.0,ROOT,531676808836833280,42345999,101,0,0,2,0.6988,francis teaches you how to make your own doritos flavored mountain dew! watch: URL then share! :) URL,0
114346,55.27777777777778,1,0.0,ROOT,528495998537334785,2461887810,73,0,0,2,0.0,"after an absence of 65 years, the afghan fanged deer has returned URL URL",0
16412075,11.344269765322396,1,0.0,ROOT,553061846081896449,16548023,55,1,0,2,0.0,banksy's response to the #charliehebdo shooting URL URL,1
5852,20.037284025462263,0,0.0,ROOT,435998882250899456,380617189,138,0,0,0,0.3612,"what if talking angela is actually boris laursen he be like ""i just stole all your personal information what are you going to do about it""",1
